id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
27188,ZBAA,large_airport,"Beijing Capital International Airport",40.080101013183594,116.58499908447266,116,AS,China,CN,"Beijing Municipality",CN-11,11,Beijing,1,ZBAA,PEK,,http://en.bcia.com.cn/,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,"BJS, Bejing, Peking, Olympics",1021575,2008-06-13T14:30:04+00:00
27223,ZSPD,large_airport,"Shanghai Pudong International Airport",31.1434,121.805,13,AS,China,CN,"Shanghai Municipality",CN-31,31,"Shanghai (Pudong)",1,ZSPD,PVG,,https://www.shanghaiairport.com/index.html,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,,51150,2023-01-28T02:09:04+00:00
27225,ZSSS,large_airport,"Shanghai Hongqiao International Airport",31.198104,121.33426,10,AS,China,CN,"Shanghai Municipality",CN-31,31,"Shanghai (Minhang)",1,ZSSS,SHA,,,https://en.wikipedia.org/wiki/Shanghai_Hongqiao_International_Airport,,1016175,2021-05-14T18:24:55+00:00
27194,ZGGG,large_airport,"Guangzhou Baiyun International Airport",23.392401,113.299004,50,AS,China,CN,"Guangdong Province",CN-44,44,"Guangzhou (Huadu)",1,ZGGG,CAN,,http://www.baiyunairport.com/english/index.jsp,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,,51575,2021-05-14T18:19:51+00:00
27205,ZLXY,large_airport,"Xi'an Xianyang International Airport",34.447102,108.751999,1572,AS,China,CN,"Shaanxi Province",CN-61,61,"Xianyang (Weicheng)",1,ZLXY,XIY,,http://www.xxia.com/,https://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,"西安咸阳国际机场, Xian",51200,2022-08-29T14:29:51+00:00
27198,ZGSZ,large_airport,"Shenzhen Bao'an International Airport",22.639299,113.810997,13,AS,China,CN,"Guangdong Province",CN-44,44,"Shenzhen (Bao'an)",1,ZGSZ,SZX,,http://eng.szairport.com/,https://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport,"Baoan, Huangtian Airport",51200,2021-05-14T18:19:35+00:00
27230,ZUUU,large_airport,"Chengdu Shuangliu International Airport",30.558257,103.945966,1625,AS,China,CN,"Sichuan Province",CN-51,51,"Chengdu (Shuangliu)",1,ZUUU,CTU,,http://www.cdairport.com/cdairport/en_front/index.jsp,https://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport,成都双流国际机场,51150,2022-08-29T13:55:09+00:00
27214,ZPPP,large_airport,"Kunming Changshui International Airport",25.110313,102.936743,6903,AS,China,CN,"Yunnan Province",CN-53,53,Kunming,1,ZPPP,KMG,,,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,,51150,2022-08-29T18:56:56+00:00
27215,ZSAM,large_airport,"Xiamen Gaoqi International Airport",24.54400062561035,118.12799835205078,59,AS,China,CN,"Fujian Province",CN-35,35,Xiamen,1,ZSAM,XMN,,http://www.xiagc.com.cn/enweb/,https://en.wikipedia.org/wiki/Xiamen_Gaoqi_International_Airport,厦门高崎国际机场,51200,2009-01-30T18:22:16+00:00
27218,ZSHC,large_airport,"Hangzhou Xiaoshan International Airport",30.23609,120.428865,23,AS,China,CN,"Zhejiang Province",CN-33,33,Hangzhou,1,ZSHC,HGH,,http://www.hzairport.com/,https://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport,"Hang Zhou, 杭州萧山国际机场",1050,2021-12-21T14:45:08+00:00
27228,ZUCK,large_airport,"Chongqing Jiangbei International Airport",29.712254,106.651895,1365,AS,China,CN,"Chongqing Municipality",CN-50,50,Chongqing,1,ZUCK,CKG,,,https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,,1000,2021-12-21T16:53:19+00:00
27196,ZGKL,large_airport,"Guilin Liangjiang International Airport",25.219828,110.039553,570,AS,China,CN,"Guangxi Autonomous Region",CN-45,45,"Guilin (Lingui)",1,ZGKL,KWL,,,https://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport,,1050,2021-12-30T17:13:54+00:00
27200,ZHHH,large_airport,"Wuhan Tianhe International Airport",30.774798,114.213723,113,AS,China,CN,"Hubei Province",CN-42,42,"Wuhan (Huangpi)",1,ZHHH,WUH,,http://www.whairport.com/,https://en.wikipedia.org/wiki/Wuhan_Tianhe_International_Airport,,1050,2022-10-17T10:17:39+00:00
27224,CN-0164,closed,"Qingdao Liuting Airport",36.266102,120.374001,33,AS,China,CN,"Shandong Province",CN-37,37,Qingdao,0,,,,,https://en.wikipedia.org/wiki/Qingdao_Liuting_International_Airport,"ZSQD, TAO",800,2022-10-27T12:57:31+00:00
27242,ZYTL,large_airport,"Dalian Zhoushuizi International Airport",38.965698,121.539001,107,AS,China,CN,"Liaoning Province",CN-21,21,"Ganjingzi, Dalian",1,ZYTL,DLC,,,https://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,"Dalian Air Base",1000,2021-01-21T13:59:46+00:00
27238,ZYHB,large_airport,"Harbin Taiping International Airport",45.623402,126.25,457,AS,China,CN,"Heilongjiang Province",CN-23,23,Harbin,1,ZYHB,HRB,,,https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,,1000,2021-09-27T22:59:15+00:00
27221,ZSNJ,large_airport,"Nanjing Lukou International Airport",31.735032,118.865949,49,AS,China,CN,"Jiangsu Province",CN-32,32,Nanjing,1,ZSNJ,NKG,,,https://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,,1000,2021-10-12T16:26:41+00:00
27192,ZBTJ,large_airport,"Tianjin Binhai International Airport",39.124401092499994,117.346000671,10,AS,China,CN,"Tianjin Municipality",CN-12,12,Tianjin,1,ZBTJ,TSN,,,https://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,,1050,2010-08-29T23:10:48+00:00
